Person.ID.0,Country.of.Birth.0,Home.Language.0,Year.of.Birth.0,Dept.No..0,With.PHD.0,Faculty.No..0
6807,Australia,,1950,2523,False,25
6942,,,1960,,False,
6977,,,1955,,False,
7037,Australia,,1970,978,True,25
7047,Australia,,1960,2713,False,25
7087,Australia,,1970,2563,True,25
7252,Australia,,1960,1258,False,34
7302,,,1960,,False,
7342,Great Britain,,1965,2553,True,25
7347,Australia,,1960,828,True,7
7362,Western Europe,,1970,2628,True,25
7387,Great Britain,,1955,653,True,7
7442,North America,,1965,3048,True,31
7452,North America,,1960,2628,False,25
7482,Australia,,1940,2768,False,25
7512,Australia,,1960,2538,True,25
7527,Australia,,1955,2883,False,25
7587,Australia,,1955,2603,True,25
7597,Eastern Europe,English,1955,3048,True,31
7607,Australia,,1955,2828,False,25
7637,,,1970,,False,
7662,Australia,,1960,3508,True,4
7747,Australia,,1975,2518,True,25
7792,,,1960,,False,
7797,,,1965,,False,
7842,Asia Pacific,Other,1960,1033,True,1
7862,Australia,,1965,2523,True,25
7917,Australia,,1945,2298,True,46
7942,Australia,,1955,828,False,7
7947,Asia Pacific,,1960,3048,True,31
7952,Australia,,1965,3098,True,31
7992,Australia,,1970,2298,True,46
8002,Australia,,1975,3073,True,31
8012,Western Europe,,1960,1098,True,1
8042,Australia,,1975,1678,True,13
8047,Australia,,1950,2298,False,46
8062,Australia,,1960,3198,True,31
8067,Western Europe,Other,1960,1998,True,19
8142,,,1970,,False,
8152,Australia,,1965,2163,True,19
8167,Australia,,1970,653,False,7
8172,Great Britain,,1930,2498,False,25
8312,Australia,,1970,1798,False,118
8317,,,1975,,False,
8327,Asia Pacific,Other,1955,148,False,64
8377,Great Britain,English,1955,2553,True,25
8397,,,1970,,False,
8462,Australia,,1950,2713,True,25
8497,Australia,,1970,2578,False,25
8532,Australia,,1970,2558,False,25
8542,Western Europe,,1960,2498,True,25
8642,,,1960,,False,
8667,Australia,,1965,3658,True,22
8732,Australia,,1965,2713,True,25
8772,Australia,,1965,2763,False,25
8842,Australia,,1960,3708,True,10
8867,Australia,,1960,3123,True,31
8877,,,1955,,False,
8987,Australia,,1965,1528,True,13
9042,Australia,,1960,3198,True,31
9067,Australia,,1960,2538,True,25
9107,Australia,,1965,2523,True,25
9217,Australia,,1945,2533,True,25
9227,Australia,,1970,1258,True,34
9262,Australia,,1975,3658,True,22
9312,Australia,English,1975,3658,True,22
9337,Australia,,1965,653,False,7
9342,,,1950,,False,
9402,,,1965,,False,
9412,Australia,,1970,2558,True,25
9417,Australia,,1950,2523,True,25
9497,Australia,,1955,1038,False,1
9502,South Africa,,1950,978,True,25
9527,Middle East and Africa,,1955,2298,True,46
9542,Australia,,1975,1428,False,34
9602,Australia,,1970,188,False,79
9657,Australia,,1965,2923,True,25
9672,,,1950,,False,
9712,Australia,,1945,3048,False,31
9732,Australia,,1960,3048,True,31
9737,Australia,,1965,2553,True,25
9757,Australia,,1960,2668,True,25
9822,,,1965,,False,
9857,Asia Pacific,,1960,2053,True,19
9912,Australia,,1970,4388,False,40
9982,Australia,,1955,1033,True,1
10002,,,1950,,False,
10052,Australia,,1955,3028,True,31
10072,,,1965,2813,False,25
10127,Australia,,1970,2678,False,25
10147,Australia,,1965,2813,False,25
10157,,,1955,,False,
10182,Australia,,1950,978,True,25
10267,Australia,,1935,828,False,7
10352,Australia,,1975,2763,False,25
10377,Australia,English,1975,593,True,7
10387,Australia,,1950,1038,True,1
10402,Australia,,1970,653,True,7
10407,Australia,,1950,3123,False,31
10447,Australia,,1970,2563,False,25
10472,Australia,,1970,528,True,7
10477,Australia,,1960,2628,True,25
10497,,,1965,,False,
10512,Australia,,1955,3073,False,31
10522,Eastern Europe,Other,1965,2153,True,19
10577,Australia,,1960,2653,False,25
10592,Australia,English,1960,2893,True,25
10602,,,1970,,False,
10662,Australia,English,1955,1258,True,34
10737,Australia,,1970,828,True,7
10787,,,1900,,False,
10842,Australia,,1955,1578,True,13
10867,Australia,,1960,2298,False,46
10987,Australia,,1950,2298,True,46
10997,Australia,,1950,2298,True,46
11092,Asia Pacific,,1955,548,True,7
11102,,,1965,,False,
11142,,,1955,,False,
11247,Australia,English,1960,2298,True,46
11282,Eastern Europe,,1945,803,False,7
11287,Australia,,1965,1258,True,34
11302,Australia,,1970,593,True,7
11322,Australia,,1965,1798,True,118
11327,Australia,,1960,2828,True,25
11342,Australia,,1965,2558,True,25
11372,South Africa,,1950,593,False,7
11382,,,1970,,False,
11397,,,1970,,False,
11427,New Zealand,,1960,2628,False,25
11432,,,1965,,False,
11507,Australia,,1945,2298,True,46
11552,Asia Pacific,,1955,3508,True,4
11597,Australia,,1975,3198,True,31
11602,Western Europe,,1955,3508,True,4
11612,Australia,,1960,3508,True,4
11617,Australia,,1965,1033,True,1
11657,Australia,,1955,1098,True,1
11667,Australia,,1950,2548,False,25
11747,Australia,,1960,2298,True,46
11812,Australia,,1945,1033,False,1
11837,Australia,,1950,1033,True,1
11842,Australia,English,1960,1033,True,1
11907,Australia,Other,1955,1038,True,1
11947,Australia,,1950,1033,False,1
12002,Australia,,1945,1038,False,1
12177,,,1960,2563,False,25
12282,,,1965,,False,
12332,Australia,,1960,1033,False,1
12467,,,1955,,False,
12527,Great Britain,,1945,2553,False,25
12542,,,1965,,False,
12677,Australia,,1965,2163,True,19
12862,Australia,,1955,1013,False,1
12887,Australia,,1960,2678,True,25
12892,Australia,,1965,2653,False,25
12917,Australia,,1955,1038,False,1
12932,Australia,,1975,2603,False,25
12957,Great Britain,,1965,2603,True,25
13042,Western Europe,,1965,2153,True,19
13102,Australia,,1975,593,False,7
13187,Australia,,1965,2568,False,25
13192,Western Europe,,1960,2668,True,25
13302,,,1970,,False,
13342,,,1945,,False,
13352,,,1955,,False,
13392,Australia,,1970,1578,False,13
13397,Middle East and Africa,English,1960,1038,True,1
13437,Australia,,1960,2878,True,25
13512,Australia,English,1960,3708,True,10
13522,Australia,,1965,2533,False,25
13527,,,1965,,False,
13552,Asia Pacific,,1955,828,False,7
13612,Australia,,1965,828,True,7
13682,Western Europe,English,1965,1258,True,34
13687,Australia,,1970,2923,False,25
13697,South Africa,,1940,2768,False,25
13712,,,1965,,False,
13807,Australia,,1970,828,True,7
13812,Australia,,1975,2178,True,19
13817,Australia,,1965,3258,False,31
13867,Australia,,1950,978,False,25
13887,,,1970,,False,
14082,Australia,,1975,3028,False,31
14112,Australia,,1975,3048,False,31
14152,Australia,,1975,3198,True,31
14182,Australia,,1965,953,False,
14187,Australia,,1955,498,True,7
14212,Australia,,1970,653,True,7
14262,Australia,,1960,1428,False,34
14267,Asia Pacific,,1960,2178,True,19
14277,Australia,,1940,1258,True,34
14322,,,1970,,False,
14417,Middle East and Africa,,1960,2523,True,25
14482,,,1975,,False,
14487,Australia,,1945,2298,False,46
14507,Australia,,1960,3508,True,4
14512,Asia Pacific,,1975,2653,True,25
14532,Australia,,1970,2773,False,25
14547,Australia,,1970,653,False,7
14562,Australia,,1950,2763,False,25
14612,Australia,,1950,2713,False,25
14647,Australia,,1950,2558,False,25
14737,Australia,,1975,3258,True,31
14757,Australia,,1975,2053,False,19
14767,,,1945,,False,
14772,Australia,,1955,2653,False,25
14777,Australia,,1970,2628,True,25
14782,Great Britain,,1955,2768,True,25
14832,Australia,,1975,1098,False,1
14842,Australia,,1960,1678,False,13
14957,Australia,English,1975,2713,True,25
15047,,,1965,,False,
15162,Australia,,1965,3048,True,31
15187,Australia,,1960,3198,True,31
15222,Australia,,1980,2653,False,25
15242,Asia Pacific,,1980,2533,True,25
15282,Australia,English,1965,2713,True,25
15287,North America,,1970,2523,True,25
15437,,,1955,,False,
15467,Australia,,1955,2668,False,25
15472,,,1965,,False,
15512,Australia,,1960,2973,False,25
15532,,,1960,,False,
15632,,,1965,,False,
15667,,,1960,,False,
15757,Australia,,1950,653,False,7
15767,Australia,,1965,2628,True,25
15777,Australia,,1950,2778,True,25
15927,Australia,,1960,1098,False,1
15977,Great Britain,,1960,1623,True,13
15987,Australia,,1960,1623,True,13
16012,North America,,1960,2103,True,19
16062,Eastern Europe,,1965,803,True,7
16137,Australia,,1950,2653,False,25
16172,Australia,,1965,118,True,118
16207,,,1955,,False,
16227,Great Britain,,1960,3273,True,31
16302,Australia,,1960,2253,True,19
16332,,,1955,,False,
16442,,,1965,,False,
16452,,,1935,,False,
16532,Australia,,1955,2558,True,25
16582,Australia,,1960,2548,False,25
16632,Australia,,1955,2973,True,25
16642,Australia,,1965,2763,True,25
16647,Asia Pacific,,1965,2778,True,25
16652,,,1960,,False,
16737,Australia,,1945,3658,True,22
16757,Australia,,1950,1798,False,118
16892,Australia,,1965,2768,True,25
16987,Australia,,1965,2653,False,25
17282,Great Britain,,1955,2298,True,46
17332,Great Britain,,1955,2893,True,25
17342,Australia,,1960,2828,True,25
17367,Asia Pacific,,1960,2523,True,25
17427,Australia,,1970,528,True,7
17512,,,1940,,False,
17617,North America,English,1965,2563,True,25
17622,Australia,,1955,2568,False,25
17647,Australia,,1960,548,True,7
17657,Asia Pacific,,1965,528,True,7
17707,Australia,,1965,2568,True,25
17737,Australia,,1970,653,True,7
17747,Australia,,1970,1578,True,13
17762,Australia,,1965,2923,False,25
17772,Australia,,1955,1033,True,1
17782,Australia,,1975,3098,False,31
17812,Australia,,1975,2558,True,25
17857,Asia Pacific,,1970,2553,False,25
17877,,,1965,,False,
17907,Australia,,1955,3028,False,31
17947,Australia,,1975,3258,True,31
18012,Australia,,1960,2568,False,25
18067,Australia,,1950,1258,False,34
18177,Australia,,1945,2653,False,25
18237,Australia,,1940,2713,False,25
18362,Australia,,1950,2298,False,46
18377,Australia,,1960,2923,True,25
18412,Australia,,1960,2568,False,25
18562,Australia,English,1950,1038,False,1
18567,Australia,,1950,1038,True,1
18592,Australia,,1960,2768,False,25
18722,Australia,,1975,2558,False,25
18732,Asia Pacific,English,1970,3073,True,31
18752,Australia,,1965,188,False,79
18757,Asia Pacific,,1955,548,True,7
18767,,,1965,,False,
18817,Australia,,1950,2768,False,25
18832,Great Britain,English,1975,2768,False,25
18862,,,1955,,False,
18997,,,1975,,False,
19037,Australia,,1975,1033,True,1
19072,Australia,,1975,3248,False,31
19082,Australia,,1970,2563,True,25
19127,Australia,,1970,2298,True,46
19262,Great Britain,,1955,1623,True,13
19287,Australia,,1950,2578,True,25
19347,Australia,,1950,2893,False,25
19362,Australia,,1955,2893,False,25
19517,Australia,,1965,2668,True,25
19602,Australia,,1945,2813,False,25
19627,Great Britain,,1950,2298,False,46
19662,Australia,,1965,3123,False,31
19752,,,1975,,False,
19832,Asia Pacific,,1975,2153,True,19
19857,Australia,,1970,1098,False,1
19897,Australia,,1970,3123,False,31
19922,Australia,,1960,2578,True,25
19947,Australia,,1950,2788,False,25
19952,Great Britain,English,1955,1033,True,1
19962,Australia,English,1940,2628,True,25
19967,Australia,,1955,2253,False,19
19997,Australia,,1960,3198,True,31
20007,Australia,,1955,2713,False,25
20012,Australia,,1935,3123,True,31
20072,Australia,,1960,2568,False,25
20117,Australia,English,1970,2558,True,25
20122,Great Britain,,1965,2523,True,25
20202,South Africa,,1965,2668,True,25
20247,Great Britain,,1945,2853,False,25
20292,,,1955,,False,
20342,Australia,,1940,2298,False,46
20357,The Americas,English,1965,3268,True,31
20472,Australia,,1970,1038,False,1
20497,Middle East and Africa,Other,1965,1258,True,34
20657,Australia,,1960,2523,False,25
20722,Australia,,1965,2853,True,25
20782,Australia,,1965,1033,False,1
20792,Australia,,1955,3258,False,31
20892,Australia,,1970,978,True,25
20907,Australia,,1975,1098,False,1
20927,Australia,,1965,2578,True,25
20937,Australia,,1970,2763,True,25
21017,,,1950,,False,
21132,Australia,,1960,2568,True,25
21137,Australia,,1970,2578,True,25
21192,Australia,,1975,2053,True,19
21612,Australia,,1950,1098,False,1
21732,Australia,,1965,2853,True,25
21872,Australia,,1975,2578,True,25
21877,Australia,,1965,3658,True,22
22002,Australia,,1975,3268,True,31
22067,,,1970,,False,
22077,Western Europe,,1955,3273,False,31
22097,Australia,,1960,2848,False,25
22112,,,1975,,False,
22117,Australia,,1970,3658,False,22
22202,Australia,,1970,1258,True,34
22292,New Zealand,,1970,1033,False,1
22297,Australia,,1950,2523,False,25
22322,Western Europe,,1955,3508,True,4
22332,Australia,,1965,3658,True,22
22352,Australia,,1965,2893,True,25
22362,,,1960,,False,
22422,,,1960,,False,
22582,Australia,English,1975,3198,True,31
22622,,,1965,,False,
22642,Australia,,1950,3073,True,31
22657,Asia Pacific,,1960,3508,True,4
22672,Australia,,1965,2298,True,46
22707,,,1965,,False,
22752,,,1980,,False,
22767,Australia,English,1975,2523,True,25
22792,Australia,,1955,3508,True,4
22807,Australia,,1955,3508,True,4
22812,Australia,,1965,2523,True,25
22847,Australia,,1980,2053,True,19
22857,,,1960,,False,
22917,Australia,,1960,1033,True,1
22972,Australia,,1965,2523,False,25
22982,Australia,,1960,2628,True,25
22987,Australia,,1965,2603,False,25
23032,,,1975,,False,
23042,South Africa,,1965,1623,True,13
23182,,,1970,,False,
23237,Australia,,1975,1623,True,13
23302,,,1960,,False,
23312,,,1975,,False,
23342,Australia,,1960,2883,True,25
23357,Australia,English,1960,3508,True,4
23412,,,1975,,False,
23417,Australia,,1975,203,False,58
23437,Australia,,1960,2713,False,25
23442,Australia,,1970,2668,False,25
23452,The Americas,English,1970,2253,True,19
23512,Australia,,1945,1038,True,1
23697,Asia Pacific,,1970,1678,True,13
23717,Australia,,1970,1623,True,13
23752,,,1970,2298,True,46
23797,,,1960,,False,
23872,Australia,,1975,3028,True,31
23912,Australia,,1965,528,False,7
23927,Australia,,1980,3198,False,31
23972,Australia,,1950,2298,True,46
23982,Australia,,1975,498,False,7
23997,Australia,,1965,2628,False,25
24017,Australia,,1970,2603,True,25
24087,Australia,,1955,2298,True,46
24182,,,1980,,False,
24227,Australia,,1960,1038,False,1
24242,Australia,,1965,2923,False,25
24252,Australia,,1960,653,False,7
24257,Asia Pacific,Other,1955,548,False,7
24267,Australia,,1970,2728,True,25
24352,Australia,,1965,2853,False,25
24392,Australia,,1960,2628,True,25
24542,,,1955,2153,True,19
24552,Australia,,1970,593,True,7
24572,Australia,,1960,2893,False,25
24577,Australia,,1965,653,True,7
24627,Asia Pacific,,1965,2768,False,25
24632,Australia,,1970,458,False,82
24697,,,1975,,False,
24892,Australia,,1965,2768,True,25
24897,Australia,,1960,2298,False,46
25052,Australia,,1955,2628,True,25
25117,Australia,,1970,2763,True,25
25137,,,1960,,False,
25207,Australia,,1970,3708,True,10
25217,Great Britain,,1965,2563,True,25
25247,,,1960,,False,
25267,Australia,,1965,2518,True,25
25272,Great Britain,,1960,2923,False,25
25337,,,1960,,False,
25342,Great Britain,,1965,2768,True,25
25537,Australia,,1960,2563,True,25
25597,Australia,,1955,2828,False,25
25612,,,1955,,False,
25662,Australia,,1975,3273,True,31
25677,,,1975,,False,
25762,North America,,1965,803,False,7
25837,Australia,,1960,3073,True,31
25947,Australia,,1960,1038,False,1
26107,Australia,,1970,2558,True,25
26117,Australia,,1970,2523,False,25
26212,Australia,,1960,2813,False,25
26337,,,1980,,False,
26352,Eastern Europe,,1975,2533,True,25
26367,Australia,,1975,2893,False,25
26502,Australia,Other,1965,3123,False,31
26517,,,1965,,False,
26597,Australia,,1975,653,False,7
26667,Australia,,1965,2768,True,25
26857,Australia,,1965,1033,False,1
26862,Australia,,1945,1663,False,13
26877,Australia,,1935,3123,False,31
26882,Australia,,1950,2523,True,25
26887,Australia,,1970,3658,True,22
26962,Great Britain,,1970,1038,False,1
27102,Eastern Europe,English,1955,1623,False,13
27142,Australia,,1965,548,False,7
27157,Asia Pacific,,1970,1033,False,1
27192,Australia,,1970,653,True,7
27282,Great Britain,,1970,2853,True,25
27307,Australia,,1950,2923,False,25
27317,Australia,,1965,2853,False,25
27347,Australia,,1965,3073,True,31
27352,Great Britain,English,1960,3073,True,31
27372,Australia,,1960,2553,True,25
27392,Australia,,1965,2498,False,25
27502,Great Britain,English,1960,3508,False,4
27527,Australia,,1950,3073,False,31
27572,Australia,,1970,2778,False,25
27632,Australia,,1945,118,False,118
27707,Asia Pacific,,1970,2153,True,19
27722,Australia,,1945,2853,False,25
27752,New Zealand,,1955,2838,False,25
27757,Australia,,1960,2813,False,25
27782,Australia,,1965,2298,True,46
27862,Australia,,1950,548,True,7
27867,Eastern Europe,Other,1965,188,False,79
27942,Asia Pacific,,1975,2553,False,25
28042,,,1960,,False,
28082,,,1965,,False,
28232,Australia,English,1965,2153,True,19
28262,Australia,,1960,2298,True,46
28342,Australia,,1960,2153,True,19
28362,Australia,,1975,2153,True,19
28387,Australia,,1965,3273,True,31
28412,Australia,,1960,2163,True,19
28442,Australia,,1960,2568,False,25
28447,Australia,,1975,3098,True,31
28502,New Zealand,,1970,2603,True,25
28572,Australia,,1955,2763,False,25
28607,Great Britain,,1965,2763,True,25
28622,Australia,,1960,2628,True,25
28682,Australia,,1975,828,True,7
28732,,,1965,3943,False,31
28742,,,1975,,False,
28797,Australia,,1970,2768,True,25
28807,Australia,,1955,2653,False,25
28832,,,1950,2728,False,25
28902,,,1965,,False,
28907,,,1965,,False,
28932,Australia,English,1970,1033,False,1
29032,Australia,,1965,2763,False,25
29087,Australia,,1950,118,True,118
29122,,,1970,,False,
29292,,,1950,,False,
29317,Australia,,1970,3508,True,4
29357,Australia,,1980,2603,False,25
29422,,,1970,,False,
29462,Australia,English,1975,2053,False,19
29497,,,1965,,False,
29512,North America,English,1970,3268,True,31
29562,Australia,English,1970,2563,True,25
29637,Australia,,1960,2298,False,46
29797,Australia,,1975,653,True,7
29807,Australia,,1970,1258,True,34
29817,Australia,,1975,3198,False,31
29912,,,1970,,False,
29927,Australia,,1965,2738,False,25
29962,Australia,,1975,2558,False,25
30017,Australia,,1960,2893,False,25
30047,Eastern Europe,,1965,3943,True,31
30072,Australia,,1960,2523,False,25
30422,Great Britain,,1955,2558,True,25
30437,Australia,,1975,3703,True,10
30457,Asia Pacific,,1955,2558,False,25
30467,Australia,,1955,3098,True,31
30527,Australia,,1960,2523,True,25
30582,Australia,,1960,2578,False,25
30612,Australia,,1955,2518,False,25
30632,,,1955,,False,
30707,Middle East and Africa,,1965,2253,True,19
30772,Australia,,1970,2603,False,25
30777,Australia,,1955,2653,False,25
30782,Australia,,1960,2653,False,25
30827,,,1950,,False,
30962,Australia,,1950,528,False,7
30977,Great Britain,,1950,3028,False,31
30987,Australia,,1965,3658,True,22
30997,Australia,,1950,653,True,7
31012,Australia,,1980,2178,True,19
31067,Great Britain,,1960,3098,True,31
31112,Australia,,1975,2533,True,25
31182,Australia,,1975,2668,True,25
31237,Australia,,1965,3098,True,31
31322,Australia,,1975,3028,True,31
31377,Australia,,1965,2553,False,25
31457,Australia,,1970,2153,False,19
31512,Middle East and Africa,,1965,3198,False,31
31592,Australia,,1960,528,True,7
31607,Australia,,1975,1258,False,34
31672,Australia,,1965,2163,True,19
31697,,,1965,,False,
31707,Australia,,1965,2558,False,25
31722,Australia,,1970,3258,True,31
31967,Australia,,1970,2668,True,25
31972,Australia,English,1960,3273,False,31
32052,Australia,,1975,3198,False,31
32172,Australia,,1965,2893,False,25
32237,,,1965,,False,
32257,Australia,,1950,2853,False,25
32357,Australia,,1970,2563,False,25
32422,Australia,,1970,803,True,7
32437,Australia,,1970,2653,False,25
32457,Australia,English,1975,3268,True,31
32467,Great Britain,,1975,2533,True,25
32522,Australia,,1970,3198,True,31
32592,Australia,,1975,2103,False,19
32667,Western Europe,,1965,3073,True,31
32672,Asia Pacific,,1975,3073,True,31
32717,Australia,,1980,3028,True,31
32822,Australia,,1960,2563,True,25
32857,Australia,,1955,2523,True,25
32892,Australia,,1975,3028,True,31
32907,Western Europe,Other,1965,1678,True,13
32912,Australia,,1970,528,False,7
32952,Australia,,1970,2538,False,25
33097,Australia,,1975,528,False,7
33152,Australia,,1950,2853,False,25
33167,Australia,,1960,2523,False,25
33202,,,1965,,False,
33227,Western Europe,,1965,1623,True,13
33247,Great Britain,,1950,803,True,7
33307,Australia,,1955,2713,False,25
33312,Australia,,1965,2813,True,25
33337,Australia,,1975,2163,False,19
33502,Australia,,1965,2533,False,25
33537,Australia,,1970,1033,False,1
33542,Great Britain,English,1980,2653,True,25
33557,Australia,,1955,2768,True,25
33582,Australia,,1975,2103,True,19
33752,Australia,,1960,2578,False,25
33802,Australia,,1975,2713,False,25
33812,Great Britain,,1965,2768,True,25
33817,Asia Pacific,,1955,2553,True,25
33852,,,1970,,False,
33917,Australia,,1970,3658,True,22
33977,Australia,,1965,528,False,7
34037,Australia,,1960,2298,True,46
34127,Australia,,1960,2523,True,25
34177,North America,,1960,2523,False,25
34182,Australia,,1965,2558,True,25
34217,,,1965,,False,
34327,Australia,,1970,1428,False,34
34347,Australia,,1970,1578,True,13
34417,Australia,,1970,1578,True,13
34447,Australia,English,1970,1098,True,1
34502,Australia,English,1970,2553,True,25
34537,Australia,,1965,2778,False,25
34617,Australia,,1955,3048,False,31
34652,,,1955,,False,
34677,North America,,1955,3658,False,22
34737,North America,,1970,2603,True,25
34782,Australia,,1970,2653,False,25
34817,Australia,,1970,3123,True,31
34852,Asia Pacific,,1965,2763,False,25
35087,Australia,,1965,2853,False,25
35132,Australia,,1970,1678,True,13
35137,Australia,,1970,653,False,7
35177,Australia,,1945,1578,True,13
35357,Australia,,1965,4323,False,25
35382,Australia,,1970,2103,False,19
35422,Australia,,1975,4363,False,187
35507,Australia,,1970,2813,False,25
35512,Australia,,1970,653,True,7
35542,Australia,English,1965,548,False,7
