I.KEY.Grant.Application.ID,I.FAC.Faculty.No..1,I.FAC.Faculty.No..10,I.FAC.Faculty.No..11,I.FAC.Faculty.No..12,I.FAC.Faculty.No..13,I.FAC.Faculty.No..14,I.FAC.Faculty.No..15,I.FAC.Faculty.No..2,I.FAC.Faculty.No..3,I.FAC.Faculty.No..4,I.FAC.Faculty.No..5,I.FAC.Faculty.No..6,I.FAC.Faculty.No..7,I.FAC.Faculty.No..8,I.FAC.Faculty.No..9,I.FAC.Grant.Status,I.NUM.A..1,I.NUM.A..10,I.NUM.A..11,I.NUM.A..12,I.NUM.A..13,I.NUM.A..14,I.NUM.A..15,I.NUM.A..2,I.NUM.A..3,I.NUM.A..4,I.NUM.A..5,I.NUM.A..6,I.NUM.A..7,I.NUM.A..8,I.NUM.A..9,I.NUM.A.1,I.NUM.A.10,I.NUM.A.11,I.NUM.A.12,I.NUM.A.13,I.NUM.A.14,I.NUM.A.15,I.NUM.A.2,I.NUM.A.3,I.NUM.A.4,I.NUM.A.5,I.NUM.A.6,I.NUM.A.7,I.NUM.A.8,I.NUM.A.9,I.NUM.B.1,I.NUM.B.10,I.NUM.B.11,I.NUM.B.12,I.NUM.B.13,I.NUM.B.14,I.NUM.B.15,I.NUM.B.2,I.NUM.B.3,I.NUM.B.4,I.NUM.B.5,I.NUM.B.6,I.NUM.B.7,I.NUM.B.8,I.NUM.B.9,I.NUM.C.1,I.NUM.C.10,I.NUM.C.11,I.NUM.C.12,I.NUM.C.13,I.NUM.C.14,I.NUM.C.15,I.NUM.C.2,I.NUM.C.3,I.NUM.C.4,I.NUM.C.5,I.NUM.C.6,I.NUM.C.7,I.NUM.C.8,I.NUM.C.9,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.1,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.10,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.11,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.12,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.13,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.14,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.15,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.2,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.3,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.4,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.5,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.6,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.7,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.8,I.NUM.No..of.Years.in.Uni.at.Time.of.Grant.9,I.NUM.Number.of.Successful.Grant.1,I.NUM.Number.of.Successful.Grant.10,I.NUM.Number.of.Successful.Grant.11,I.NUM.Number.of.Successful.Grant.12,I.NUM.Number.of.Successful.Grant.13,I.NUM.Number.of.Successful.Grant.14,I.NUM.Number.of.Successful.Grant.15,I.NUM.Number.of.Successful.Grant.2,I.NUM.Number.of.Successful.Grant.3,I.NUM.Number.of.Successful.Grant.4,I.NUM.Number.of.Successful.Grant.5,I.NUM.Number.of.Successful.Grant.6,I.NUM.Number.of.Successful.Grant.7,I.NUM.Number.of.Successful.Grant.8,I.NUM.Number.of.Successful.Grant.9,I.NUM.Number.of.Unsuccessful.Grant.1,I.NUM.Number.of.Unsuccessful.Grant.10,I.NUM.Number.of.Unsuccessful.Grant.11,I.NUM.Number.of.Unsuccessful.Grant.12,I.NUM.Number.of.Unsuccessful.Grant.13,I.NUM.Number.of.Unsuccessful.Grant.14,I.NUM.Number.of.Unsuccessful.Grant.15,I.NUM.Number.of.Unsuccessful.Grant.2,I.NUM.Number.of.Unsuccessful.Grant.3,I.NUM.Number.of.Unsuccessful.Grant.4,I.NUM.Number.of.Unsuccessful.Grant.5,I.NUM.Number.of.Unsuccessful.Grant.6,I.NUM.Number.of.Unsuccessful.Grant.7,I.NUM.Number.of.Unsuccessful.Grant.8,I.NUM.Number.of.Unsuccessful.Grant.9,I.NUM.Start.date,I.NUM.Year.of.Birth.1,I.NUM.Year.of.Birth.10,I.NUM.Year.of.Birth.11,I.NUM.Year.of.Birth.12,I.NUM.Year.of.Birth.13,I.NUM.Year.of.Birth.14,I.NUM.Year.of.Birth.15,I.NUM.Year.of.Birth.2,I.NUM.Year.of.Birth.3,I.NUM.Year.of.Birth.4,I.NUM.Year.of.Birth.5,I.NUM.Year.of.Birth.6,I.NUM.Year.of.Birth.7,I.NUM.Year.of.Birth.8,I.NUM.Year.of.Birth.9,S.FAC.Contract.Value.Band...see.note.A,S.FAC.Country.of.Birth.1,S.FAC.Country.of.Birth.10,S.FAC.Country.of.Birth.11,S.FAC.Country.of.Birth.12,S.FAC.Country.of.Birth.13,S.FAC.Country.of.Birth.14,S.FAC.Country.of.Birth.15,S.FAC.Country.of.Birth.2,S.FAC.Country.of.Birth.3,S.FAC.Country.of.Birth.4,S.FAC.Country.of.Birth.5,S.FAC.Country.of.Birth.6,S.FAC.Country.of.Birth.7,S.FAC.Country.of.Birth.8,S.FAC.Country.of.Birth.9,S.FAC.Grant.Category.Code,S.FAC.Home.Language.1,S.FAC.Home.Language.10,S.FAC.Home.Language.11,S.FAC.Home.Language.12,S.FAC.Home.Language.13,S.FAC.Home.Language.14,S.FAC.Home.Language.15,S.FAC.Home.Language.2,S.FAC.Home.Language.3,S.FAC.Home.Language.4,S.FAC.Home.Language.5,S.FAC.Home.Language.6,S.FAC.Home.Language.7,S.FAC.Home.Language.8,S.FAC.Home.Language.9,S.FAC.Role.1,S.FAC.Role.10,S.FAC.Role.11,S.FAC.Role.12,S.FAC.Role.13,S.FAC.Role.14,S.FAC.Role.15,S.FAC.Role.2,S.FAC.Role.3,S.FAC.Role.4,S.FAC.Role.5,S.FAC.Role.6,S.FAC.Role.7,S.FAC.Role.8,S.FAC.Role.9,S.FAC.With.PHD.1,S.FAC.With.PHD.10,S.FAC.With.PHD.11,S.FAC.With.PHD.12,S.FAC.With.PHD.13,S.FAC.With.PHD.14,S.FAC.With.PHD.15,S.FAC.With.PHD.2,S.FAC.With.PHD.3,S.FAC.With.PHD.4,S.FAC.With.PHD.5,S.FAC.With.PHD.6,S.FAC.With.PHD.7,S.FAC.With.PHD.8,S.FAC.With.PHD.9
11,31,,,,,,,31,,,,,,,,1,2,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,,0,,,,,,,0,,,,,,,,,1965,,,,,,,1950,,,,,,,,G,Australia,,,,,,,Australia,,,,,,,,10A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
12,25,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,North America,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,STUD_CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13,25,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,Great Britain,,,,,,,,,,,,,,,10A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14,19,,,,,,,19,,,,,,,,0,3,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,0,,,,,,,,0,,,,,,,1,,,,,,,,,1970,,,,,,,1960,,,,,,,,,Australia,,,,,,,Australia,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
15,25,,,,,,,19,19,,,,,,,1,6,,,,,,,0,1,,,,,,,12,,,,,,,0,5,,,,,,,2,,,,,,,0,1,,,,,,,2,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,0,,,,,,,3,,,,,,,2,0,,,,,,,,1960,,,,,,,1960,1950,,,,,,,,Australia,,,,,,,Western Europe,Australia,,,,,,,10A,,,,,,,,Other,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,DELEGATED_RESEARCHER,EXT_CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
16,25,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1965,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,10B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17,25,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,North America,,,,,,,,,,,,,,,10A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
18,25,,,,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,50A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
19,34,,,,,,,34,,,,,,,,1,6,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,6,,,,,,,0,,,,,,,,32,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,2,,,,,,,,0,,,,,,,0,,,,,,,,,1950,,,,,,,1960,,,,,,,,F,Australia,,,,,,,Australia,,,,,,,,10A,English,,,,,,,,,,,,,,,PRINCIPAL_SUPERVISOR,,,,,,,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
20,25,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1975,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21,25,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1965,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,30B,English,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,1,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,Australia,,,,,,,,,,,,,,,30B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,25,,,,,,,25,,,,,,,,0,6,,,,,,,0,,,,,,,,12,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,,1960,,,,,,,1950,,,,,,,,,Australia,,,,,,,Australia,,,,,,,,10B,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,EXT_CHIEF_INVESTIGATOR,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,19,,,,,,,19,,,,,,,,1,1,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,4,,,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,0,,,,,,,0,,,,,,,,,1950,,,,,,,1970,,,,,,,,D,Australia,,,,,,,Australia,,,,,,,,10A,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
25,25,,,,,,,25,,,,,,,,1,0,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,3,,,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,0,,,,,,,,1,,,,,,,0,,,,,,,,,1960,,,,,,,1955,,,,,,,,,Australia,,,,,,,Australia,,,,,,,,30B,,,,,,,,English,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,DELEGATED_RESEARCHER,EXT_CHIEF_INVESTIGATOR,,,,,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
26,25,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1955,,,,,,,,,,,,,,,A,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,25,,,,,,,,,,,,,,,0,4,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,C,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHIEF_INVESTIGATOR,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
